ID,Account_Number_of_Vendor_or_Creditor
4400010190_10,0
4500171069_10,0
4210140249_20,0
4500171067_20,0
4210140249_10,0
4500171041_1,0
4210140427_10,0
4500171067_10,0
4500170745_10,0
6000037617_10,0
6000037617_60,0
4400010194_1,0
4210140435_10,0
6000037617_40,0
6000037617_30,0
6000037617_20,0
4210140425_10,0
4500171047_1,0
4500171024_10,0
4500170746_10,0
4220039766_10,0
4500171026_1,0
4500171076_1,0
6000037617_50,0
45005440_20,0
4500171028_1,0
4210140421_10,0
4210140435_20,0
4500171027_1,0
4400010191_10,0
4500171073_1,0
4500171035_1,0
4400010190_20,0
4500171025_10,0
4210140423_10,0
4210140314_10,0
4220039540_30,0
45005903_10,0
4400010192_10,0
4500171072_1,0
4220039762_10,0
4500170748_10,0
4500171031_1,0
4220039765_10,0
4500171034_1,0
4500171066_10,0
4500162802_30,0
4400010193_10,0
4500171043_1,0
4500171055_1,0
4500171045_1,0
45005794_40,0
4500171050_1,0
4500171033_1,0
4500171016_1,0
5500008268_30,0
5500008268_10,0
4210140432_10,0
4210140429_10,0
4500171064_10,0
4500171037_1,0
4500171022_1,0
4500171059_1,0
4210140424_10,0
4500170003_10,0
4500171040_1,0
4500171044_1,0
4210140426_10,0
45005860_20,0
4500164928_30,0
4500171039_1,0
4500171042_1,0
4210140257_10,0
4000006633_10,0
4300013046_10,0
4000006607_10,0
4300013047_10,0
4500171023_1,0
4500164928_10,0
4500171030_1,0
4300013048_10,0
4500171060_1,0
4500171052_1,0
4500171046_1,0
4500171049_1,0
4500171029_1,0
4210140416_20,0
4500171038_1,0
4500171058_1,0
4210138297_10,0
4500171062_10,0
4210140422_10,0
4400010196_10,0
4500171074_1,0
4500171032_1,0
4500171036_1,0
4500171017_1,0
4500170100_10,0
4500171015_1,0
4500171054_1,0
4500171048_10,0
4500171053_1,0
4210140430_10,0
4500171056_1,0
4500171057_1,0
4500171075_1,0
4500171095_1,0
4500171088_10,0
4500171087_20,0
4220039771_10,0
4210140456_10,0
4500171079_10,0
4500171100_1,0
4210140437_10,0
4210140438_10,0
4210140474_10,0
4210138720_10,0
4210140443_10,0
4220039768_10,0
4500171083_10,0
4210140441_10,0
4500171063_10,0
4500171097_1,0
4500171063_20,0
4500170966_10,0
4210140437_20,0
4210140454_20,0
4210140454_10,0
4210140372_10,0
4500171087_10,0
4500170966_20,0
4210140444_10,0
4210140458_20,0
4210140455_10,0
4210140458_10,0
4500171102_1,0
4220039776_10,0
4210140051_10,0
4210140373_10,0
4210138720_20,0
4210140465_50,0
4500171103_1,0
4220039773_10,0
4210140460_80,0
4400010195_10,0
4220039774_10,0
4220039774_20,0
4220039770_10,0
4210140453_10,0
4220039772_10,0
4210140473_10,0
4210140460_60,0
4210140473_20,0
4210140473_40,0
4210140473_50,0
4210140473_30,0
4220039767_10,0
4500171078_1,0
4500171101_1,0
6000037619_10,0
4500171096_1,0
4210140439_10,0
4220039775_10,0
4210140460_70,0
4210140460_30,0
4210140465_60,0
4210140465_80,0
4210140465_70,0
4210140465_90,0
4210140465_20,0
4210140466_40,0
4210140466_30,0
4220039769_10,0
4210140460_10,0
4220039769_30,0
4220039535_20,0
4210140463_30,0
4210140463_20,0
4210140463_10,0
4210140471_10,0
4210140460_40,0
4210140460_50,0
4210140460_20,0
4220039769_20,0
4500171098_1,0
4500171094_1,0
4210140462_10,0
4500171093_1,0
45005819_10,0
45005819_40,0
45005801_10,0
4500171099_1,0
4210140481_10,0
4210140465_10,0
4210140478_10,0
4210140446_30,0
4210140446_20,0
4210140446_10,0
6000037620_10,0
4210140457_10,0
4500171090_1,0
4500161165_10,0
45005819_30,0
4210140442_10,0
45005819_20,0
4210140445_10,0
4220036836_30,0
4210140445_20,0
4210140467_10,0
4210140450_10,0
4210140447_10,0
4210140451_10,0
4210140448_10,0
45005893_10,0
6000037618_10,0
4210140452_10,0
4210140448_20,0
6000037621_10,0
4400010197_10,0
6000037621_40,0
4500171092_30,0
4500171114_1,0
4220039668_10,0
4500171111_10,0
6000037629_10,0
4000006702_40,0
4210140484_10,0
6000037621_70,0
4000006702_20,0
4000006702_10,0
4000006702_30,0
6000037621_60,0
4000006702_50,0
4210135777_330,0
6000037623_10,0
6000037623_20,0
6000037621_50,0
4220039782_10,0
4500171119_1,0
4210140496_10,0
4210139493_20,0
4210140490_10,0
45005927_10,0
4210140487_100,0
4210140487_90,0
4210140487_80,0
4210140487_70,0
4500171122_1,0
6000037631_10,0
6000037631_20,0
4220039777_10,0
4210140487_60,0
4210140490_30,0
4210140490_20,0
6000037628_10,0
4210140501_10,0
4210140487_50,0
6000037631_30,0
6000037631_40,0
4210140487_40,0
4210140487_10,0
4210140501_30,0
4210140501_20,0
4210140502_10,0
4210140485_10,0
4000006729_20,0
4000006729_10,0
4000006724_20,0
4210140482_10,0
45005923_10,0
4210140482_20,0
6000037621_30,0
4500171108_20,0
4300013051_10,0
4300013052_10,0
4300013053_10,0
4210140499_10,0
4500171118_1,0
6000037630_10,0
4300013049_10,0
4210140492_10,0
4210139581_30,0
4210139581_20,0
4210139581_10,0
4210140488_10,0
4210140500_10,0
4220039779_10,0
6000037622_10,0
4500171121_1,0
4210140483_10,0
4210140487_20,0
4210140428_10,0
4210140487_30,0
4210140487_110,0
4500171120_1,0
4500171113_1,0
6000037624_10,0
6000037626_10,0
4220039783_10,0
4500171108_10,0
4500171092_10,0
4210140486_10,0
6000037621_20,0
4000006716_50,0
4210139493_60,0
4500171109_10,0
4210139493_110,0
4210139493_90,0
4210139493_80,0
4210139493_70,0
4210139493_100,0
4210139493_30,0
4210140264_10,0
4210140491_10,0
6000037627_10,0
4500171092_20,0
4000006716_60,0
4500171107_10,0
4500171116_10,0
4220039780_20,0
4500171110_10,0
6000037625_10,0
4500171115_1,0
4210139493_40,0
4000006716_20,0
4000006716_10,0
45005925_10,0
4500171092_40,0
4210140489_20,0
45005913_10,0
4220039780_10,0
4210139493_50,0
4300013050_10,0
4210139493_10,0
4210140541_10,0
4220039788_80,0
4210140514_10,0
4220039788_70,0
4220039788_60,0
4210140540_10,0
4210140449_20,0
4500171162_1,0
4500171159_1,0
4500171124_1,0
4220039788_50,0
4220039788_40,0
4220039788_30,0
45005924_10,0
4210140532_10,0
4500171127_1,0
4210140535_10,0
4220039788_110,0
4220039788_20,0
4500171156_10,0
4210140506_10,0
4210140539_10,0
4500171155_10,0
45005918_10,0
4210140449_10,0
4220039788_100,0
4500171147_10,0
4500171137_10,0
4210140494_10,0
4210140494_40,0
4500171135_1,0
4210140494_20,0
4220039788_90,0
5500008025_10,0
4210140494_30,0
4220039788_10,0
4210139877_10,0
4210140523_10,0
4500171133_1,0
45005929_10,0
4500171126_1,0
4500171129_1,0
4500171149_1,0
4220039788_120,0
4210140521_10,0
4500162737_10,0
4500171160_1,0
4210140507_10,0
4210140536_10,0
4500171125_1,0
4210140533_10,0
4210140545_10,0
4210140515_10,0
4500170770_10,0
4210140332_10,0
4220039796_30,0
4220039796_10,0
5500008202_10,0
4500171150_1,0
4210140520_30,0
4210140520_10,0
4210140520_40,0
4500171161_1,0
4300012629_10,0
4220039796_20,0
4210140511_20,0
4210140511_10,0
4500171128_1,0
4210140434_10,0
4500171123_1,0
45005930_10,0
45005797_20,0
45005797_10,0
4210140511_30,0
4210140316_10,0
4500171130_1,0
4210140547_10,0
4210140528_20,0
4210140528_30,0
4210140440_10,0
4220039265_100,0
4220039265_110,0
4210140493_10,0
4210140525_10,0
4210140528_10,0
4210140542_20,0
4210140522_10,0
4210140509_20,0
4210140509_10,0
4210140509_30,0
4230002684_10,0
4210140503_10,0
4500171141_10,0
4210140542_10,0
4210140528_40,0
4210140538_20,0
4210140538_10,0
4210140516_40,0
4210140516_30,0
4210140516_10,0
4400010178_1,0
4210140527_10,0
6000037632_10,0
4210140518_10,0
4210140517_20,0
4210140517_40,0
4210140517_30,0
4210140517_50,0
4210140517_10,0
4500171139_10,0
4210140534_10,0
4300012613_10,0
4300012676_10,0
4210140538_30,0
4210140513_20,0
4210140513_10,0
4210140270_30,0
4210140270_20,0
4300012872_30,0
4300013054_10,0
4300013054_20,0
4300013054_30,0
4300013054_40,0
4300013054_50,0
4300013054_60,0
4300013054_70,0
4300013054_80,0
4300013054_90,0
4300013054_100,0
4500171148_30,0
4500171148_40,0
4500171148_50,0
4300013054_110,0
4300013054_120,0
4500171148_20,0
4500166969_10,0
4210140516_20,0
4300012872_20,0
4300012872_10,0
4210140270_10,0
4220039794_10,0
4220039792_10,0
4210140412_10,0
4220039786_10,0
4220039785_10,0
4300013054_210,0
4300013054_200,0
4300013054_190,0
4300013054_180,0
4300013054_170,0
4300013054_160,0
4300013054_150,0
4300013054_140,0
4300013054_130,0
4500171138_10,0
4500171140_10,0
4300012872_40,0
4220039790_10,0
4500171148_10,0
4300013055_20,0
4300013055_10,0
4300013055_110,0
4300013055_120,0
4300013055_40,0
4300013055_50,0
4300013055_60,0
4300013055_70,0
4300013055_80,0
4210140531_10,0
4220039793_10,0
4300013055_90,0
4300013055_30,0
4300013055_100,0
4210140504_10,0
4220039787_10,0
4210140553_10,0
4220035785_110,0
4210140595_10,0
4210140480_10,0
4500168005_10,0
4210140588_10,0
4300012744_10,0
4300012612_10,0
4210140586_10,0
4500171163_200,0
4500171163_190,0
4220035785_120,0
4500171163_120,0
4500171163_130,0
4500171163_270,0
4500171163_280,0
4500171163_290,0
4500171163_300,0
4500171163_310,0
4500171163_320,0
4500171163_210,0
4500171163_80,0
4500171163_160,0
4500171163_170,0
4500171163_20,0
4500171163_90,0
4500171163_150,0
4500171163_220,0
4500171163_110,0
4210140585_10,0
4210140590_10,0
4500169706_10,0
4210139170_40,0
4210140602_20,0
4220039801_10,0
4220039797_10,0
4210140558_10,0
