ID,Purchasing_Document_Number,Item_Number_of_Purchasing_Document,Is_the_order_deleted,Purchasing_Document_Item _Date,Material_Number,Net_Price_in_Purchasing_Document_(in Document Currency),Account_Assignment_Category,Created_On,Flag_Material_for_Deletion_at_Client_Level,Base_Unit_of_Measure,Net_Weight
4400010190_10,4400010190,10,,2023-10-02,58200302,10000,Vendor,2022-11-15,,L,0.0
4500171069_10,4500171069,10,,2023-10-02,58200302,10000,Partnership,2022-11-15,,L,0.0
4210140249_20,4210140249,20,,2023-10-02,,94050,Partnership,,,,
4500171067_20,4500171067,20,,2023-10-02,55079741,10000,Vendor,2023-09-07,,KG,5.0
4210140249_10,4210140249,10,,2023-10-02,7044501,6560,Vendor,2016-09-29,,UN,0.0
4500171041_1,4500171041,1,,2023-10-02,,10000,Partnership,,,,
4210140427_10,4210140427,10,,2023-10-02,,232500,Partnership,,,,
4500171067_10,4500171067,10,,2023-10-02,55037721,10000,Vendor,2021-07-30,,KG,20.0
4500170745_10,4500170745,10,,2023-10-02,120702,10000,Vendor,2013-06-27,,KG,25.0
6000037617_10,6000037617,10,,2023-10-02,7002213,5000,Vendor,2005-12-03,,UN,0.0
6000037617_60,6000037617,60,,2023-10-02,7037713,5000,Vendor,2012-11-22,,UN,0.0
4400010194_1,4400010194,1,,2023-10-02,,61940,Partnership,,,,
4210140435_10,4210140435,10,,2023-10-02,,10000,Partnership,,,,
6000037617_40,6000037617,40,,2023-10-02,7037690,5000,Vendor,2012-11-20,,UN,0.0
6000037617_30,6000037617,30,,2023-10-02,7035112,5000,Vendor,2012-01-02,,UN,0.0
6000037617_20,6000037617,20,,2023-10-02,7003084,5000,Vendor,2005-12-03,,UN,0.0
4210140425_10,4210140425,10,,2023-10-02,,10000,Partnership,,,,
4500171047_1,4500171047,1,,2023-10-02,,20730,Partnership,,,,
4500171024_10,4500171024,10,,2023-10-02,55062501,10000,Vendor,2020-10-29,,KG,25.0
4500170746_10,4500170746,10,,2023-10-02,120702,10000,Vendor,2013-06-27,,KG,25.0
4220039766_10,4220039766,10,,2023-10-02,,310500,Partnership,,,,
4500171026_1,4500171026,1,,2023-10-02,,10000,Partnership,,,,
4500171076_1,4500171076,1,,2023-10-02,,10000,Partnership,,,,
6000037617_50,6000037617,50,,2023-10-02,7037700,5000,Vendor,2012-11-21,,UN,0.0
45005440_20,45005440,20,,2023-10-02,100119,10000,Vendor,2019-04-19,,KG,15.0
4500171028_1,4500171028,1,,2023-10-02,,10000,Partnership,,,,
4210140421_10,4210140421,10,,2023-10-02,,5130,Partnership,,,,
4210140435_20,4210140435,20,,2023-10-02,,10000,Partnership,,,,
4500171027_1,4500171027,1,,2023-10-02,,10000,Partnership,,,,
4400010191_10,4400010191,10,,2023-10-02,58200302,10000,Vendor,2022-11-15,,L,0.0
4500171073_1,4500171073,1,,2023-10-02,,520450,Partnership,,,,
4500171035_1,4500171035,1,,2023-10-02,,10000,Partnership,,,,
4400010190_20,4400010190,20,,2023-10-02,58200112,10000,Vendor,2023-01-27,,L,0.0
4500171025_10,4500171025,10,,2023-10-02,55074012,10000,Vendor,2021-04-23,,KG,25.0
4210140423_10,4210140423,10,,2023-10-02,,87160,Partnership,,,,
4210140314_10,4210140314,10,,2023-10-02,,10000,Partnership,,,,
4220039540_30,4220039540,30,,2023-10-02,,2501000,Partnership,,,,
45005903_10,45005903,10,,2023-10-02,100087,10000,Vendor,2019-04-19,,KG,20.0
4400010192_10,4400010192,10,,2023-10-02,58200302,10000,Vendor,2022-11-15,,L,0.0
4500171072_1,4500171072,1,,2023-10-02,,326100,Partnership,,,,
4220039762_10,4220039762,10,,2023-10-02,,10000,Partnership,,,,
4500170748_10,4500170748,10,,2023-10-02,120702,10000,Vendor,2013-06-27,,KG,25.0
4500171031_1,4500171031,1,,2023-10-02,,26450,Partnership,,,,
4220039765_10,4220039765,10,,2023-10-02,,66305000,Partnership,,,,
4500171034_1,4500171034,1,,2023-10-02,,498740,Partnership,,,,
4500171066_10,4500171066,10,,2023-10-02,58200302,10000,Partnership,2022-11-15,,L,0.0
4500162802_30,4500162802,30,,2023-10-02,FACONNAGE,10000,Partnership,2006-07-20,,UN,0.0
4400010193_10,4400010193,10,,2023-10-02,58200302,10000,Vendor,2022-11-15,,L,0.0
4500171043_1,4500171043,1,,2023-10-02,,10000,Partnership,,,,
4500171055_1,4500171055,1,,2023-10-02,,10000,Partnership,,,,
4500171045_1,4500171045,1,,2023-10-02,,210400,Partnership,,,,
45005794_40,45005794,40,,2023-10-02,53630259,10000,Vendor,2023-04-03,,L,0.0
4500171050_1,4500171050,1,,2023-10-02,,10000,Partnership,,,,
4500171033_1,4500171033,1,,2023-10-02,,31130,Partnership,,,,
4500171016_1,4500171016,1,,2023-10-02,,89500,Partnership,,,,
5500008268_30,5500008268,30,,2023-10-02,30040005,168150,Vendor,2006-06-01,,KG,25.0
5500008268_10,5500008268,10,,2023-10-02,30040001,168150,Vendor,1998-10-01,,KG,15.0
4210140432_10,4210140432,10,,2023-10-02,,15400,Partnership,,,,
